image1,image2,name,summery
https://st.hzcdn.com/simgs/ae0176cc0efca6ad_9-2196,https://st.hzcdn.com/simgs/dc21d4360efca6ae_9-2196,"Noah Velvet Accent Chair, Cognac, Gold Base","accent,armchair,base,chair,contemporary,fabric,metal,modern,plush,velvet"
https://st.hzcdn.com/simgs/79311a0709c4777b_9-1307,https://st.hzcdn.com/simgs/83c1045f09c4777c_9-1307,"Blanca Brushed Stainless Steel Contemporary Dining Chairs, Set of 2, White","Armen Living,blanca,brushed stainless steel,chair,dining chair,elegant,gray,grey,leather,metal,modern,plush,upholstered,upholstered back"
https://st.hzcdn.com/simgs/743142e90e3ddea5_9-4579,https://st.hzcdn.com/simgs/fd6153910e3313da_9-4579,"Perception Tufted Upholstered Fabric Armchair, White","chair,Dining,Home,home d�cor,Home Interior,indoor,Outdoor,sofa,vertical channel tufting;glam deco armchair;polyester fabric"
https://st.hzcdn.com/simgs/7de1d7de0d55c869_9-6315,https://st.hzcdn.com/simgs/a0b1239f0d55c865_9-7270,Madison Park Devrim Herringbone Texture Swivel Chair,"accent chair,armchair,bedroom chair,chairs for bedroom,comfortable chair,comfy chair,living room chair,lounge chair,madison park,reading chair,rotating chair,side chair,Sofa Chair,swivel chair,upholstered chair,wingback chair"
https://st.hzcdn.com/simgs/b9617b2009c29dc2_9-3492,https://st.hzcdn.com/simgs/a5e14b0209960a2e_9-3492,Alexis Chrome Accent Chair,"accent chair,acrylic accent chair,arm chair,beautiful,bl,black,burgundy,contemporary,deep chair,emerald,gold legs,gray,green,living room chair,living room furniture,meridian furniture,navy accent chair,stainless steel,tufted accent chair,velvet chair"
https://st.hzcdn.com/simgs/2f41cd7c0e72fd99_9-6453,https://st.hzcdn.com/simgs/d501a1fd0a836bf3_9-7267,Madison Park Kari Slant Back Wood Accent Chair,"accent chair,accent chairs,arm chair,bedroom chair,bedroom furniture,chairs for bedroom,chairs for living room,comfy chair,living room,living room chairs,living room furniture,living room set,office furniture,wood accent chair,Wood Frame Chair"
https://st.hzcdn.com/simgs/b35171640ebdba8d_9-7309,https://st.hzcdn.com/simgs/3441561c0ebdba8c_9-7309,Madison Park Elmwood Dining Chair Set of 2,dining chair
https://st.hzcdn.com/simgs/86316f3009960c27_9-3442,https://st.hzcdn.com/simgs/22414f1709960c28_9-3442,"Opera Velvet Accent Chair, Navy","accent chair,armchair,contemporary,furniture,gold legs,living room,modern,nailhead,navy,tufted,velvet"
https://st.hzcdn.com/simgs/6f01f55a0e85678d_9-5684,https://st.hzcdn.com/simgs/70e186010e856792_9-5302,"Annie Tufted Velvet Dining Chairs, Set of 2","box tufting,contemporary,contemporary design,dining chair,elegant,furniture,matt black legs,modern,soft grey velvet,upholstered,velvet"
https://st.hzcdn.com/simgs/b2d198a70dd70768_9-5848,https://st.hzcdn.com/simgs/679174300dd7076b_9-2887,"Xavier Velvet Dining Chair, Navy, Chrome Legs","black,chrome,chrome steel legs,comfortable,contemporary,contemporary design,dining chair,luxurious,meridian furniture,modern,nice,rich black velvet,sturdy,velvet,xavier,xavier black velvet dining chair"
https://st.hzcdn.com/simgs/0c41ce3e0eb4e5ce_9-0032,https://st.hzcdn.com/simgs/7d013eec0eb4e5cf_9-0032,Modway Prospect Channel Tufted Velvet Armchair in Gray (Set of 2),"affordable,chair,decor,Dining,dining set,free shipping,furniture,Home,home and decor,home d�cor,home furniture,Home Interior,indoor,Kitchen set,living room set,modern furniture,Outdoor,sofa,sofas armchairs"
https://st.hzcdn.com/simgs/3ef1f4c20ee14115_9-8208,https://st.hzcdn.com/simgs/31e131210ee14119_9-8208,"Geometric Gold Metal Dining Chair, 20""x36""","contemporary dining chair,contemporary modern d�cor,dining chairs,dining room chairs,home decor ideas,Interior Design,interior design ideas,kitchen chairs,metal chair,metal dining chair,metal kitchen chair,modern dining chairs"
https://st.hzcdn.com/simgs/1a91b6b10e9d6a05_9-1413/home-design.jpg,,"Upholstered Vinyl Accent Chair, Blue","affordable,antique faux leather,assembly required,blue chair,blue lounge chair,chair,chic modern armchair,dense foam padding,Dining,free shipping,furniture,furniture xo lounge chair,Home,home accent,home decor,lounge chair,mdweei-2327-blu,midcentury modern lounge chair,modern arm chair,modway,non-marking wood legs,plywood chair,sofa weight limit: 330 lbs.,sofas and armchairs,vinyl lounge chair"
https://st.hzcdn.com/simgs/85513c060fa09883_9-9344,https://st.hzcdn.com/simgs/b891abf80e0501c3_9-9344,"Set of 2 Real Oak Wood PU Leather Cushion Seat Modern Wood Side Dining Chair, Bl","armless,Bedroom,contemporary,Dining,elbow chair,Hans,hardwood,Kennedy,kitchen,leather,living room,modern,padded seat,Presidential,side chair,Wagner,wood"
https://st.hzcdn.com/simgs/b4a13c0b0c819274_9-7391,https://st.hzcdn.com/simgs/5781b4ec0c81926c_9-7391,Collin Arm Chair,"accent chair,arm chair,arm chairs,arm chairs for living room,bedroom chair,bedroom furniture,chairs for bedroom,chairs for living room,Chairs with Arms,comfy chair,living room chairs,living room furniture,living room set,wood accent chair,Wood Frame Chair"
https://st.hzcdn.com/simgs/544114bb0c77f5c4_9-6611,https://st.hzcdn.com/simgs/c5915c3d0c7819ae_9-5129,"Chelsea Mid Century Modern DSW Side Chairs, Set of 2, White","accent chair,chelsea,dowel leg chair,dsw chair,Eames DSW,eames plastic chair,Laura Davidson,shell chair,side chair,small dining chair,wooden leg chair"
https://st.hzcdn.com/simgs/3391692d0f931bf8_9-3649,https://st.hzcdn.com/simgs/9f4115e70f931bf9_9-3694,"Betty Traditional Fabric Club Chair, Beige",
https://st.hzcdn.com/simgs/50d1514c0dcb1f26_9-5884,https://st.hzcdn.com/simgs/8101ea410dcb1f27_9-5884,Magnolia Navy Chair With Silver Base,"affordable,free shipping,furniture,home d�cor,Home Interior,modern furniture"
